@processor,Arduino Mega2560,,,,,,,,,
,,,,,,,,,,
@symbol,SERIAL_CONSOLE,Serial,Serial port for console.,,,,,,,
@symbol,SERIAL_RS485,Serial2,Serial port for RS485.,,,,,,,
@symbol,SERIAL_RS232,Serial1,Serial port for customer RS232.,,,,,,,
@symbol,SERIAL_FDTI_CONS,Serial3,Serial port for board FDTI header.,,,,,,,
@symbol,LCD_NUM_ROWS,2,,,,,,,,
@symbol,LCD_NUM_COLS,16,,,,,,,,
,,,,,,,,,,
#Arduino Pin,Signal,Function,Description,Group,Arduino Pin No.,Processor Pin No.,Proc Port,Proc Alt Func,Comment,Note
D0/RX0,RX0,RXD0,Onboard USB serial port,Serial,0,2,PE0,RXD0/PCINT8,Bootloader/USB,
D1/TX0,TX0,TXD0,Onboard USB serial port,Serial,1,3,PE1,TXD0,Bootloader/USB,
D2,IR_REC,input,IR receiver input,Misc,2,6,PE4,OC3B/INT4,PWM,On INTx pin in case we want to try irupt driven decoding. 
D3,,unused,,,3,7,PE5,OC3C/INT5,PWM,
D4,LCD_BL,PWM,LCD backlight,LCD,4,1,PG5,OC0B,PWM,
D5,,unused,,,5,5,PE3,OC3A/AIN1,PWM,
D6,,unused,,,6,15,PH3,OC4A,PWM,
D7,,unused,,,7,16,PH4,OC4B,PWM,
D8,,unused,,,8,17,PH5,OC4C,PWM,
D9,,unused,,,9,18,PH6,OC2B,PWM,
D10,,unused,,,10,23,PB4,OC2A/PCINT4,PWM,
D11,,unused,,,11,24,PB5,OC1A/PCINT5,PWM,
D12,,unused,,,12,25,PB6,OC1B/PCINT6,PWM,
D13,LED_BUILTIN,output direct,Onboard LED,Misc,13,26,PB7,OC0A/OC1C/PCINT7,PWM,Onboard LED returned to ground. 
D14/TX3,CONS_TXO,TXD3,Console FDTI serial,Serial,14,64,PJ1,TXD3/PCINT10,,
D15/RX3,CONS_RXI,RXD3,Console FDTI serial,Serial,15,63,PJ0,RXD3/PCINT9,,
D16/TX2,RS485_TXD,TXD2,RS485 TX,Bus,16,13,PH1,TXD2,,
D17/RX2,RS485_RXD,RXD2,RS485 RX,Bus,17,12,PH0,RXD2,,
D18/TX1,EXT_TXD,TXD1,Ext. RS232 port,Serial,18,46,PD3,TXD1/INT3,,
D19/RX1,EXT_RXD,RXD1,Ext. RS232 port,Serial,19,45,PD2,RXDI/INT2,,
D20/SDA,,unused,,,20,44,PD1,SDA/INT1,,
D21/SCL,,unused,,,21,43,PD0,SCL/INT0,,
D22,LCD_RS,output,LCD control,LCD,22,78,PA0,AD0,,
D23,LCD_E,output,LCD control,LCD,23,77,PA1,AD1,,
D24,LCD_D4,output,LCD data,LCD,24,76,PA2,AD2,,
D25,LCD_D5,output,LCD data,LCD,25,75,PA3,AD3,,
D26,LCD_D6,output,LCD data,LCD,26,74,PA4,AD4,,
D27,LCD_D7,output,LCD data,LCD,27,73,PA5,AD5,,
D28,,unused,,,28,72,PA6,AD6,,
D29,,unused,,,29,71,PA7,AD7,,
D30,LED,output direct,Blinky LED,Misc,30,60,PC7,A15,,
D31,ATN,output,Pulse high to signal ATN low on bus.,Bus,31,59,PC6,A14,,
D32,RS485_TX_EN,output,Enable RS485 xmitter,Bus,32,58,PC5,A13,,
D33,TS_RIGHT,input,Touchswitch module,Misc,33,57,PC4,A12,,
D34,TS_LEFT,input,Touchswitch module,Misc,34,56,PC3,A11,,
D35,TS_MENU,input,Touchswitch module,Misc,35,55,PC2,A10,,
D36,TS_RET,input,Touchswitch module,Misc,36,54,PC1,A9,,
D37,,unused,,,37,53,PC0,A8,,
D38,,unused,,,38,50,PD7,T0,,
D39,,unused,,,39,70,PG2,ALE,,
D40,,unused,,,40,52,PG1,RD,,
D41,,unused,,,41,51,PG0,WR,,
D42,,unused,,,42,,,,,
D43,,unused,,,43,,,,,
D44,,unused,,,44,40,PL5,OC5C,PWM,
D45,,unused,,,45,39,PL4,OC5B,PWM,
D46,,unused,,,46,38,PL3,OC5A,PWM,
D47,,unused,,,47,37,PL2,T5,,
D48,,unused,,,48,36,PL1,ICP5,,
D49,,unused,,,49,35,PL0,ICP4,,
D50/MISO,MISO,MISO,ISP,Debug,50,22,PB3,MISO/PCINT3,,
D51/MOSI,MOSI,MOSI,ISP,Debug,51,21,PB2,MOSI/PCINT2,,
D52/SCK,SCK,SCK,ISP,Debug,52,20,PB1,SCK/PCINT1,,
D53/SS,,unused,,,53,19,PB0,SS/PCINT0,,
A0,VOLTS_MON_BUS,A0,Monitors 12V bus.,Analogue,60,97,PF0,ADC0,,
A1,,unused,,,61,96,PF1,ADC1,,
A2,,unused,,,62,95,PF2,ADC2,,
A3,,unused,,,63,94,PF3,ADC3,,
A4,TCK,TCK unused,JTAG Debug,Debug,64,93,PF4,ADC4/TCK,,
A5,TMS,TMS unused,JTAG Debug,Debug,65,92,PF5,ADC5/TMS,,
A6,TDO,TDO unused,JTAG Debug,Debug,66,91,PF6,ADC6/TDO,,
A7,TDI,TDI unused,JTAG Debug,Debug,67,90,PF7,ADC7/TDI,,
A8,SP_0,output direct,Spare IO,Spare,68,89,PK0,ADC8/PCINT16,,
A9,SP_1,output direct,Spare IO,Spare,69,88,PK1,ADC9/PCINT17,,
A10,SP_2,output direct,Spare IO,Spare,70,87,PK2,ADC10/PCINT18,,
A11,SP_3,output direct,Spare IO,Spare,71,86,PK3,ADC11/PCINT19,,
A12,SP_4,output direct,Spare IO,Spare,72,85,PK4,ADC12/PCINT20,,
A13,SP_5,output direct,Spare IO,Spare,73,84,PK5,ADC13/PCINT21,,
A14,SP_6,output direct,Spare IO,Spare,74,83,PK6,ADC14/PCINT22,,
A15,SP_7,output direct,Spare IO,Spare,75,82,PK7,ADC15/PCINT23,,
AREF,,,,,77,98,AREF,,,Do not ground!
RESET,,,JTAG / ISP,Debug,54,30,RESET,RESET,,
3V3,,,,,55,,,,,
VIN,,,,,59,,,,,
5V,,,,,"56,80,81",,,,,
GND,,,,,"57,58,78,79",,,,,
,,,,,,4,PE2,XCK0/AIN0,,
,,,,,,8,PE6,T3/INT6,,
